!SIL	SIL
一块	j^II M6^MM;1 t^MF f^MI aMj^FF;3
一声	j^II M6^MM;1 t^MF s^MI EM^MM;1 N^FF
一处	j^II M6^MM;1 t^MF ts^MI yM^FF;3
一夕	j^II M6^MM;1 t^MF dz^MI iM^MM;6 k^FF
一大	j^II M6^MM;1 t^MF d^MI aMj^FF;6
一头	j^II M6^MM;1 t^MF t^MI M6w^FF;4
一套	j^II M6^MM;1 t^MF t^MI ow^FF;3
一宗	j^II M6^MM;1 t^MF dz^MI uM^MM;1 N^FF
一定	j^II M6^MM;1 t^MF d^MI iM^MM;6 N^FF
一对	j^II M6^MM;1 t^MF d^MI M9y^FF;3
一小	j^II M6^MM;1 t^MF s^MI iw^FF;2
一局	j^II M6^MM;1 t^MF g^MI uM^MM;6 k^FF
一层	j^II M6^MM;1 t^MF ts^MI M6^MM;4 N^FF
一届	j^II M6^MM;1 t^MF g^MI aMj^FF;3
一岁	j^II M6^MM;1 t^MF s^MI M9y^FF;3
一带	j^II M6^MM;1 t^MF d^MI aMj^FF;3
一帮	j^II M6^MM;1 t^MF b^MI OM^MM;1 N^FF
一幅	j^II M6^MM;1 t^MF f^MI uM^MM;1 k^FF
一年	j^II M6^MM;1 t^MF l^MI iM^MM;4 n^FF
一并	j^II M6^MM;1 t^MF p^MI iM^MM;3 N^FF
一度	j^II M6^MM;1 t^MF d^MI ow^FF;6
一开	j^II M6^MM;1 t^MF h^MI OMj^FF;1
一张	j^II M6^MM;1 t^MF dz^MI M9M^MM;1 N^FF
一律	j^II M6^MM;1 t^MF l^MI M9M^MM;6 t^FF
一成	j^II M6^MM;1 t^MF s^MI iM^MM;4 N^FF
一所	j^II M6^MM;1 t^MF s^MI OM^FF;2
一批	j^II M6^MM;1 t^MF p^MI M6j^FF;1
一把	j^II M6^MM;1 t^MF b^MI aM^FF;2
一排	j^II M6^MM;1 t^MF p^MI aMj^FF;4
一支	j^II M6^MM;1 t^MF dz^MI iM^FF;1
一方	j^II M6^MM;1 t^MF f^MI OM^MM;1 N^FF
一方面	j^II M6^MM;1 t^MF f^MI OM^MM;1 N^MF m^MI iM^MM;6 n^FF
一日	j^II M6^MM;1 t^MF j^MI M6^MM;6 t^FF
一早	j^II M6^MM;1 t^MF dz^MI ow^FF;2
一时	j^II M6^MM;1 t^MF s^MI iM^FF;4
一晚	j^II M6^MM;1 t^MF m^MI aM^MM;5 n^FF
一曲	j^II M6^MM;1 t^MF k^MI uM^MM;1 k^FF
一朝	j^II M6^MM;1 t^MF ts^MI iw^FF;1
一朝一夕	j^II M6^MM;1 t^MF ts^MI iw^MF;1 j^MI M6^MM;1 t^MF dz^MI iM^MM;6 k^FF
一朵	j^II M6^MM;1 t^MF d^MI M9M^FF;2
一朵朵	j^II M6^MM;1 t^MF d^MI M9M^MF;2 d^MI M9M^FF;2
一条	j^II M6^MM;1 t^MF t^MI iw^FF;4
一柱	j^II M6^MM;1 t^MF ts^MI yM^FF;5
一柱擎天	j^II M6^MM;1 t^MF ts^MI yM^MF;5 k^MI iM^MM;4 N^MF t^MI iM^MM;1 n^FF
一样	j^II M6^MM;1 t^MF j^MI M9M^MM;6 N^FF
一楼	j^II M6^MM;1 t^MF l^MI M6w^FF;2
一概	j^II M6^MM;1 t^MF k^MI OMj^FF;3
一次	j^II M6^MM;1 t^MF ts^MI iM^FF;3
一款	j^II M6^MM;1 t^MF f^MI uM^MM;2 n^FF
一步	j^II M6^MM;1 t^MF b^MI ow^FF;6
一点	j^II M6^MM;1 t^MF d^MI iM^MM;2 m^FF
一点儿	j^II M6^MM;1 t^MF d^MI iM^MM;2 m^MF j^MI iM^FF;4
一片	j^II M6^MM;1 t^MF p^MI iM^MM;3 n^FF
一瓶	j^II M6^MM;1 t^MF p^MI iM^MM;4 N^FF
一生	j^II M6^MM;1 t^MF s^MI M6^MM;1 N^FF
一男一女	j^II M6^MM;1 t^MF l^MI aM^MM;4 m^MF j^MI M6^MM;1 t^MF l^MI M9y^FF;5
一番	j^II M6^MM;1 t^MF f^MI aM^MM;1 n^FF
一百	j^II M6^MM;1 t^MF b^MI aM^MM;3 k^FF
一百一十	j^II M6^MM;1 t^MF b^MI aM^MM;3 k^MF j^MI M6^MM;1 t^MF s^MI M6^MM;6 p^FF
一百万	j^II M6^MM;1 t^MF b^MI aM^MM;3 k^MF m^MI aM^MM;6 n^FF
一百三十	j^II M6^MM;1 t^MF b^MI aM^MM;3 k^MF s^MI aM^MM;1 m^MF s^MI M6^MM;6 p^FF
一百二	j^II M6^MM;1 t^MF b^MI aM^MM;3 t^MF j^MI iM^FF;6
一百二十	j^II M6^MM;1 t^MF b^MI aM^MM;3 t^MF j^MI iM^MF;6 s^MI M6^MM;6 p^FF
一百五十	j^II M6^MM;1 t^MF b^MI aM^MM;3 k^MF m^MI;5 s^MI M6^MM;6 p^FF
一百多	j^II M6^MM;1 t^MF b^MI aM^MM;3 k^MF d^MI OM^FF;1
一百多个	j^II M6^MM;1 t^MF b^MI aM^MM;3 k^MF d^MI OM^MF;1 g^MI OM^FF;3
一直	j^II M6^MM;1 t^MF dz^MI iM^MM;6 k^FF
一眼	j^II M6^MM;1 t^MF N^MI aM^MM;5 n^FF
一碗	j^II M6^MM;1 t^MF w^MI uM^MM;2 n^FF
一碗水	j^II M6^MM;1 t^MF w^MI uM^MM;2 n^MF s^MI M9y^FF;2
一票	j^II M6^MM;1 t^MF p^MI iw^FF;3
一种	j^II M6^MM;1 t^MF dz^MI uM^MM;2 N^FF
一窝蜂	j^II M6^MM;1 t^MF w^MI OM^MF;1 f^MI uM^MM;1 N^FF
一笔	j^II M6^MM;1 t^MF b^MI M6^MM;1 t^FF
一篇	j^II M6^MM;1 t^MF p^MI iM^MM;1 n^FF
一线	j^II M6^MM;1 t^MF s^MI iM^MM;3 n^FF
一线希望	j^II M6^MM;1 t^MF s^MI iM^MM;3 n^MF h^MI ej^MF;1 m^MI OM^MM;6 N^FF
一般	j^II M6^MM;1 t^MF b^MI uM^MM;1 n^FF
一色	j^II M6^MM;1 t^MF s^MI iM^MM;1 k^FF
一药	j^II M6^MM;1 t^MF j^MI M9M^MM;6 k^FF
一贯	j^II M6^MM;1 t^MF g^MI uM^MM;3 n^FF
一贯制	j^II M6^MM;1 t^MF g^MI uM^MM;3 n^MF dz^MI M6j^FF;3
一走了之	j^II M6^MM;1 t^MF dz^MI M6w^MF;2 l^MI iw^MF;5 dz^MI iM^FF;1
一起	j^II M6^MM;1 t^MF h^MI ej^FF;2
一轮	j^II M6^MM;1 t^MF l^MI M9M^MM;4 n^FF
一辆	j^II M6^MM;1 t^MF l^MI M9M^MM;2 N^FF
一辈	j^II M6^MM;1 t^MF b^MI uMj^FF;3
一部	j^II M6^MM;1 t^MF b^MI ow^FF;6
一间	j^II M6^MM;1 t^MF g^MI aM^MM;1 n^FF
一队	j^II M6^MM;1 t^MF d^MI M9y^FF;6
一面	j^II M6^MM;1 t^MF m^MI iM^MM;6 n^FF
一项	j^II M6^MM;1 t^MF h^MI OM^MM;6 N^FF
一餐	j^II M6^MM;1 t^MF ts^MI aM^MM;1 n^FF
一饱眼福	j^II M6^MM;1 t^MF b^MI aMw^MF;2 N^MI aM^MM;5 n^MF f^MI uM^MM;1 k^FF
一齐	j^II M6^MM;1 t^MF ts^MI M6j^FF;4
七	ts^II M6^MM;1 t^FF
七七	ts^II M6^MM;1 t^MF ts^MI M6^MM;1 t^FF
七七八八	ts^II M6^MM;1 t^MF ts^MI M6^MM;1 t^MF b^MI aM^MM;3 t^MF b^MI aM^MM;3 t^FF
七万	ts^II M6^MM;1 t^MF m^MI aM^MM;6 n^FF
七三	ts^II M6^MM;1 t^MF s^MI aM^MM;1 m^FF
七三年	ts^II M6^MM;1 t^MF s^MI aM^MM;1 m^MF l^MI iM^MM;4 n^FF
七个	ts^II M6^MM;1 t^MF g^MI OM^FF;3
七九	ts^II M6^MM;1 t^MF g^MI M6w^FF;2
七五	ts^II M6^MM;1 t^MF m^FI;5
七亿	ts^II M6^MM;1 t^MF j^MI iM^MM;1 k^FF
七位	ts^II M6^MM;1 t^MF w^MI M6j^FF;2
七倍	ts^II M6^MM;1 t^MF p^MI uMj^FF;5
七八	ts^II M6^MM;1 t^MF b^MI aM^MM;3 t^FF
七八十	ts^II M6^MM;1 t^MF b^MI aM^MM;3 t^MF s^MI M6^MM;6 p^FF
七八十年	ts^II M6^MM;1 t^MF b^MI aM^MM;3 t^MF s^MI M6^MM;6 p^MF l^MI iM^MM;4 n^FF
七公	ts^II M6^MM;1 t^MF g^MI uM^MM;1 N^FF
七刀	ts^II M6^MM;1 t^MF d^MI ow^FF;1
七分	ts^II M6^MM;1 t^MF f^MI M6^MM;1 n^FF
七十	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^FF
七十万	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF m^MI aM^MM;6 n^FF
七十三	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF s^MI aM^MM;1 m^FF
七十五	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF m^FI;5
七十五年	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF N^MI;5 n^MI iM^MM;4 n^FF
七十八	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF b^MI aM^MM;3 t^FF
七十年	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF l^MI iM^MM;4 n^FF
七十年代	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF l^MI iM^MM;4 n^MF d^MI OMj^FF;6
七十米	ts^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF m^MI M6j^FF;5
七千	ts^II M6^MM;1 t^MF ts^MI iM^MM;1 n^FF
七千五百	ts^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF m^MI;5 b^MI aM^MM;3 k^FF
七千四百	ts^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF s^MI ej^MF;3 b^MI aM^MM;3 k^FF
七名	ts^II M6^MM;1 t^MF m^MI iM^MM;4 N^FF
七头	ts^II M6^MM;1 t^MF t^MI M6w^FF;4
七年	ts^II M6^MM;1 t^MF n^MI iM^MM;4 n^FF
七成	ts^II M6^MM;1 t^MF s^MI iM^MM;4 N^FF
七把	ts^II M6^MM;1 t^MF b^MI aM^FF;2
七日	ts^II M6^MM;1 t^MF j^MI M6^MM;6 t^FF
七月	ts^II M6^MM;1 t^MF j^MI yM^MM;6 t^FF
七月份	ts^II M6^MM;1 t^MF j^MI yM^MM;6 t^MF f^MI M6^MM;6 n^FF
七楼	ts^II M6^MM;1 t^MF l^MI M6w^FF;2
七点	ts^II M6^MM;1 t^MF d^MI iM^MM;2 m^FF
七番	ts^II M6^MM;1 t^MF f^MI aM^MM;1 n^FF
七百	ts^II M6^MM;1 t^MF b^MI aM^MM;3 k^FF
七种	ts^II M6^MM;1 t^MF dz^MI uM^MM;2 N^FF
七股	ts^II M6^MM;1 t^MF g^MI uM^FF;2
七辆	ts^II M6^MM;1 t^MF l^MI M9M^MM;2 N^FF
七里	ts^II M6^MM;1 t^MF l^MI ej^FF;5
七里湖	ts^II M6^MM;1 t^MF l^MI ej^MF;5 w^MI uM^FF;4
七间	ts^II M6^MM;1 t^MF g^MI aM^MM;1 n^FF
七音	ts^II M6^MM;1 t^MF j^MI M6^MM;1 m^FF
七顷	ts^II M6^MM;1 t^MF k^MI iM^MM;1 N^FF
万一	m^II aM^MM;6 n^MF j^MI M6^MM;1 t^FF
万万	m^II aM^MM;6 n^MF m^MI aM^MM;6 n^FF
万三	m^II aM^MM;6 n^MF s^MI aM^MM;1 m^FF
万个	m^II aM^MM;6 n^MF g^MI OM^FF;3
万二	m^II aM^MM;6 n^MF j^MI iM^FF;6
万件	m^II aM^MM;6 n^MF g^MI iM^MM;6 n^FF
万元	m^II aM^MM;6 n^MF j^MI yM^MM;4 n^FF
万八千	m^II aM^MM;6 n^MF b^MI aM^MM;3 t^MF ts^MI iM^MM;1 n^FF
万公顷	m^II aM^MM;6 n^MF g^MI uM^MM;1 N^MF k^MI iM^MM;5 N^FF
万六	m^II aM^MM;6 n^MF l^MI uM^MM;6 k^FF
万兰特	m^II aM^MM;6 n^MF l^MI aM^MM;4 n^MF d^MI M6^MM;6 k^FF
万分	m^II aM^MM;6 n^MF f^MI M6^MM;1 n^FF
万名	m^II aM^MM;6 n^MF m^MI iM^MM;4 N^FF
万吨	m^II aM^MM;6 n^MF d^MI M9M^MM;1 n^FF
万多	m^II aM^MM;6 n^MF d^MI OM^FF;1
万多元	m^II aM^MM;6 n^MF d^MI OM^MF;1 j^MI yM^MM;4 n^FF
万多名	m^II aM^MM;6 n^MF d^MI OM^MF;1 m^MI iM^MM;4 N^FF
万多平方米	m^II aM^MM;6 n^MF d^MI OM^MF;1 p^MI iM^MM;4 N^MF f^MI OM^MM;1 N^MF m^MI M6j^FF;5
万宝	m^II aM^MM;6 n^MF b^MI ow^FF;2
万宝路	m^II aM^MM;6 n^MF b^MI ow^MF;2 l^MI ow^FF;6
万平方	m^II aM^MM;6 n^MF p^MI iM^MM;4 N^MF f^MI OM^MM;1 N^FF
万平方公里	m^II aM^MM;6 n^MF p^MI iM^MM;4 N^MF f^MI OM^MM;1 N^MF g^MI uM^MM;1 N^MF l^MI ej^FF;5
万张	m^II aM^MM;6 n^MF dz^MI M9M^MM;1 N^FF
万方	m^II aM^MM;6 n^MF f^MI OM^MM;1 N^FF
万港元	m^II aM^MM;6 n^MF g^MI OM^MM;2 N^MF j^MI yM^MM;4 n^FF
万澳元	m^II aM^MM;6 n^MF N^MI ow^MF;3 j^MI yM^MM;4 n^FF
万立方	m^II aM^MM;6 n^MF l^MI aM^MM;6 p^MF f^MI OM^MM;1 N^FF
万立方米	m^II aM^MM;6 n^MF l^MI aM^MM;6 p^MF f^MI OM^MM;1 N^MF m^MI M6j^FF;5
万美元	m^II aM^MM;6 n^MF m^MI ej^MF;5 j^MI yM^MM;4 n^FF
万股	m^II aM^MM;6 n^MF g^MI uM^FF;2
万英镑	m^II aM^MM;6 n^MF j^MI iM^MM;1 N^MF b^MI OM^MM;2 N^FF
万难	m^II aM^MM;6 n^MF n^MI aM^MM;4 n^FF
丈夫	dz^II M9M^MM;6 N^MF f^MI uM^FF;1
三	s^II aM^MM;1 m^FF
三万	s^II aM^MM;1 m^MF m^MI aM^MM;6 n^FF
三万九千	s^II aM^MM;1 m^MF m^MI aM^MM;6 n^MF g^MI M6w^MF;2 ts^MI iM^MM;1 n^FF
三万五千	s^II aM^MM;1 m^MF m^MI aM^MM;6 n^MF m^MI;5 ts^MI iM^MM;1 n^FF
三个	s^II aM^MM;1 m^MF g^MI OM^FF;3
三个代表	s^II aM^MM;1 m^MF g^MI OM^MF;3 d^MI OMj^MF;6 b^MI iw^FF;2
三九	s^II aM^MM;1 m^MF g^MI M6w^FF;2
三五	s^II aM^MM;1 m^MF m^FI;5
三五成群	s^II aM^MM;1 m^MF N^MI;5 s^MI iM^MM;4 N^MF kw^MI M6^MM;4 n^FF
三井	s^II aM^MM;1 m^MF dz^MI EM^MM;2 N^FF
三亚	s^II aM^MM;1 m^MF aM^FI;3
三亚市	s^II aM^MM;1 m^MF aM^MI;3 s^MI iM^FF;5
三产	s^II aM^MM;1 m^MF ts^MI aM^MM;2 n^FF
三亿	s^II aM^MM;1 m^MF j^MI iM^MM;1 k^FF
三代	s^II aM^MM;1 m^MF d^MI OMj^FF;6
三件	s^II aM^MM;1 m^MF g^MI iM^MM;6 n^FF
三份	s^II aM^MM;1 m^MF f^MI M6^MM;6 n^FF
三位	s^II aM^MM;1 m^MF w^MI M6j^FF;2
三倍	s^II aM^MM;1 m^MF p^MI uMj^FF;5
三元	s^II aM^MM;1 m^MF j^MI yM^MM;4 n^FF
三八	s^II aM^MM;1 m^MF b^MI aM^MM;3 t^FF
三公	s^II aM^MM;1 m^MF g^MI uM^MM;1 N^FF
三分	s^II aM^MM;1 m^MF f^MI M6^MM;1 n^FF
三分钟	s^II aM^MM;1 m^MF f^MI M6^MM;1 n^MF dz^MI uM^MM;1 N^FF
三十	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^FF
三十一	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF j^MI M6^MM;1 t^FF
三十七	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF ts^MI M6^MM;1 t^FF
三十万	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF m^MI aM^MM;6 n^FF
三十三	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF s^MI aM^MM;1 m^FF
三十九	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF g^MI M6w^FF;2
三十五	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF m^FI;5
三十八	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF b^MI aM^MM;3 t^FF
三十名	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF m^MI iM^MM;4 N^FF
三十四	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF s^MI ej^FF;3
三十四个	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF s^MI ej^MF;3 g^MI OM^FF;3
三十四点	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF s^MI ej^MF;3 d^MI iM^MM;2 m^FF
三十年	s^II aM^MM;1 m^MF s^MI M6^MM;6 p^MF l^MI iM^MM;4 n^FF
三千	s^II aM^MM;1 m^MF ts^MI iM^MM;1 n^FF
三千万	s^II aM^MM;1 m^MF ts^MI iM^MM;1 n^MF m^MI aM^MM;6 n^FF
三千五	s^II aM^MM;1 m^MF ts^MI iM^MM;1 n^MF N^FI;5
三千五百	s^II aM^MM;1 m^MF ts^MI iM^MM;1 n^MF N^MI;5 b^MI aM^MM;3 k^FF
三千元	s^II aM^MM;1 m^MF ts^MI iM^MM;1 n^MF j^MI yM^MM;4 n^FF
三千六	s^II aM^MM;1 m^MF ts^MI iM^MM;1 n^MF l^MI uM^MM;6 k^FF
三千六百	s^II aM^MM;1 m^MF ts^MI iM^MM;1 n^MF l^MI uM^MM;6 k^MF b^MI aM^MM;3 k^FF
三千名	s^II aM^MM;1 m^MF ts^MI iM^MM;1 n^MF m^MI iM^MM;4 N^FF
三发	s^II aM^MM;1 m^MF f^MI aM^MM;3 t^FF
三号	s^II aM^MM;1 m^MF h^MI ow^FF;6
三名	s^II aM^MM;1 m^MF m^MI iM^MM;4 N^FF
三周	s^II aM^MM;1 m^MF dz^MI M6w^FF;1
三四	s^II aM^MM;1 m^MF s^MI ej^FF;3
三围	s^II aM^MM;1 m^MF w^MI M6j^FF;4
三块	s^II aM^MM;1 m^MF f^MI aMj^FF;3
三夜	s^II aM^MM;1 m^MF j^MI EM^FF;6
三天	s^II aM^MM;1 m^MF t^MI iM^MM;1 n^FF
三天三夜	s^II aM^MM;1 m^MF t^MI iM^MM;1 n^MF s^MI aM^MM;1 m^MF j^MI EM^FF;6
三宗	s^II aM^MM;1 m^MF dz^MI uM^MM;1 N^FF
三家	s^II aM^MM;1 m^MF g^MI aM^FF;1
三岁	s^II aM^MM;1 m^MF s^MI M9y^FF;3
三幢	s^II aM^MM;1 m^MF d^MI uM^MM;6 N^FF
三年	s^II aM^MM;1 m^MF l^MI iM^MM;4 n^FF
三度	s^II aM^MM;1 m^MF d^MI ow^FF;6
三张	s^II aM^MM;1 m^MF dz^MI M9M^MM;1 N^FF
三成	s^II aM^MM;1 m^MF s^MI iM^MM;4 N^FF
三房	s^II aM^MM;1 m^MF f^MI OM^MM;2 N^FF
三房两厅	s^II aM^MM;1 m^MF f^MI OM^MM;2 N^MF l^MI M9M^MM;5 N^MF t^MI EM^MM;1 N^FF
三方	s^II aM^MM;1 m^MF f^MI OM^MM;1 N^FF
三期	s^II aM^MM;1 m^MF k^MI ej^FF;4
三次	s^II aM^MM;1 m^MF ts^MI iM^FF;3
三点	s^II aM^MM;1 m^MF d^MI iM^MM;2 m^FF
三甲	s^II aM^MM;1 m^MF g^MI aM^MM;3 p^FF
三百	s^II aM^MM;1 m^MF b^MI aM^MM;3 k^FF
三百万	s^II aM^MM;1 m^MF b^MI aM^MM;3 k^MF m^MI aM^MM;6 n^FF
三百两	s^II aM^MM;1 m^MF b^MI aM^MM;3 k^MF l^MI M9M^MM;5 N^FF
三百五十	s^II aM^MM;1 m^MF b^MI aM^MM;3 k^MF N^MI;5 s^MI M6^MM;6 p^FF
三百五十万	s^II aM^MM;1 m^MF b^MI aM^MM;3 k^MF N^MI;5 s^MI M6^MM;6 p^MF m^MI aM^MM;6 n^FF
